,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
173,Cyber Shadow,17.99," Action, Indie",8.0,2021-01-26,Very Positive,0.83,825
174,Nuts,15.49," Adventure, Simulation",7.0,2021-02-04,Very Positive,0.88,353
175,Everspace 2,31.99," Action, Adventure, RPG, Simulation, Early Access",7.0,2021-01-18,Very Positive,0.87,4300
176,Hitman 3,49.99," Action, Adventure",9.0,2022-01-20,Mixed,0.69,3854
177,Factorio,21.0," Casual, Indie, Simulation, Strategy",8.0,2020-08-14,Overwhelmingly Positive,0.98,107679
178,Among Us,3.99, Casual,9.0,2018-11-16,Very Positive,0.92,551958
179,Monster Train,19.49, Strategy,9.0,2020-05-21,Overwhelmingly Positive,0.96,14415
180,Medal of Honor: Above and Beyond,34.99, Action,6.0,2020-12-11,Mixed,0.63,1835
181,Cyberpunk 2077,49.99, RPG,9.0,2020-12-10,Mostly Positive,0.76,427656
182,Empire of Sin,34.99," RPG, Strategy",4.0,2020-12-01,Mixed,0.49,3687
183,Twin Mirror,21.99, Adventure,5.0,2021-12-01,Mostly Positive,0.76,153
184,Destiny 2: Beyond Light,24.99," Action, Adventure, Free to Play",7.0,2020-11-10,Mixed,0.51,3930
185,Dirt 5,44.99," Action, Adventure, Casual, Racing, Sports",8.0,2020-11-05,Mixed,0.59,2271
186,Godfall,34.99," Action, Adventure",6.0,2022-04-07,Mixed,0.63,770
187,Monster Truck Championship,10.49," Action, Racing, Simulation, Sports",7.0,2020-10-15,Mostly Positive,0.72,58
188,Yakuza: Like a Dragon,54.99," Action, Adventure, RPG",7.0,2020-11-10,Overwhelmingly Positive,0.95,12567
189,The Dark Pictures Anthology: Little Hope,24.99, Adventure,5.0,2020-10-29,Mostly Positive,0.72,4191
190,Doom Eternal: The Ancient Gods Part 1 DLC,15.99, Action,7.0,2020-10-20,Mostly Positive,0.72,4138
191,Ghostrunner,24.99, Action,8.0,2020-10-27,Very Positive,0.92,31559
192,Second Extinction,19.49," Action, Early Access",7.0,2020-10-13,Mostly Positive,0.73,3980
193,Amnesia: Rebirth,23.79," Adventure, Indie",8.0,2020-10-20,Mostly Positive,0.77,5588
194,Remothered: Broken Porcelain,24.99, Action,4.0,2020-10-13,Mixed,0.58,412
195,Age of Empires 3: Definitive Edition,14.99, Strategy,6.0,2020-10-15,Mostly Positive,0.79,23839
196,Baldur's Gate 3,49.99," Adventure, RPG, Strategy, Early Access",7.0,2020-10-06,Very Positive,0.87,46479
197,Rogue Company,0.0," Action, Free to Play",7.0,2021-07-20,Mostly Positive,0.75,16422
198,I Am Dead,15.49," Adventure, Indie",8.0,2020-10-08,Very Positive,0.83,210
199,STAR WARS™: Squadrons,34.99," Action, Simulation",8.0,2020-10-01,Mostly Positive,0.71,19983
200,The Walking Dead: Onslaught,23.79," Action, Adventure, Indie, RPG, Simulation",6.0,2020-09-29,Mostly Negative,0.39,721
201,Paradise Killer,9.29," Adventure, Indie, RPG",9.0,2020-09-04,Very Positive,0.94,1895
202,Inertial Drift,16.99," Indie, Racing",9.0,2020-09-11,Very Positive,0.92,441
203,Serious Sam 4,30.99," Action, Adventure, Indie",5.0,2020-09-24,Very Positive,0.83,10719
204,Mafia: Definitive Edition,12.24," Action, Adventure",8.0,2020-09-25,Very Positive,0.86,31864
205,WWE 2K Battlegrounds,34.99," Action, Sports",5.0,2020-09-18,Mixed,0.68,332
206,Spellbreak,0.0," Action, Adventure, Free to Play, RPG",8.0,2020-12-15,Very Positive,0.85,12768
207,WRC 9,9.99," Racing, Simulation, Sports",8.0,2021-09-16,Very Positive,0.8,209
208,Hades,19.49," Action, Indie, RPG",9.0,2020-09-17,Overwhelmingly Positive,0.98,176970
209,Hotshot Racing,15.99," Action, Indie, Racing",7.0,2020-09-10,Mostly Positive,0.76,706
210,Spelunky 2,15.49," Action, Indie",10.0,2020-09-29,Very Positive,0.93,13414
211,Borderlands 3: Psycho Krieg and the Fantastic Fustercluck DLC,7.91," Action, RPG",7.0,2020-09-10,Mixed,0.47,666
212,The Outer Worlds: Peril on Gorgon DLC,11.99, RPG,7.0,2020-10-23,Very Positive,0.84,147
213,Iron Harvest,24.99, Strategy,8.0,2020-09-01,Mostly Positive,0.74,7462
214,Windbound,15.99," Adventure, Indie, RPG",5.0,2020-08-28,Mixed,0.58,693
215,Crusader Kings 3,41.99," RPG, Simulation, Strategy",10.0,2020-09-01,Very Positive,0.93,50730
216,Wasteland 3,30.99," RPG, Strategy",8.0,2020-08-28,Very Positive,0.83,11761
217,Project CARS 3,49.99, Racing,6.0,2020-08-27,Mixed,0.53,1768
218,Mortal Shell,24.99," Action, RPG",8.0,2021-08-18,Mostly Positive,0.75,2883
219,Spiritfarer,23.79," Adventure, Indie, Simulation",9.0,2020-08-18,Overwhelmingly Positive,0.95,18519
220,Helheim Hassle,15.49," Adventure, Indie",7.0,2020-08-18,Very Positive,0.96,91
221,Microsoft Flight Simulator,59.99, Simulation,10.0,2020-04-18,Mostly Positive,0.76,36675
222,A Total War Saga: Troy,34.99," Action, Simulation, Strategy",8.0,2021-09-02,Mostly Positive,0.71,1644
223,Grounded,24.99," Action, Adventure, Early Access",6.0,2020-07-28,Very Positive,0.88,25007
224,Hellpoint,27.79," Action, Adventure, Indie, RPG",6.0,2020-07-30,Mostly Positive,0.79,1976
225,Fantasy Strike,0.0," Action, Casual, Free to Play, Indie",8.0,2019-07-25,Mixed,0.65,1797
226,Necrobarista,15.49, Indie,8.0,2020-07-22,Very Positive,0.85,1023
227,Othercide,26.99," Indie, Strategy",9.0,2020-07-27,Very Positive,0.83,2953
228,Carrion,16.99," Action, Adventure, Indie",7.0,2020-07-23,Very Positive,0.94,15392
229,Panzer Paladin,15.49, Action,8.0,2020-07-21,Mostly Positive,0.76,218
